역코드,역명,상하행,출구,빠른하차,
430,이촌(4),1,"1번출구, 4번출구, 5번출구",9-1,
430,이촌(4),1,"2번출구, 3번출구, 3-1번출구",2-4,
431,동작(4),0,"1번출구, 2번출구",3-1,
431,동작(4),0,"1번출구, 2번출구",5-1,
431,동작(4),0,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구",6-3,
431,동작(4),0,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구",8-4,
431,동작(4),1,"1번출구, 2번출구",6-3,
431,동작(4),1,"1번출구, 2번출구",8-4,
431,동작(4),1,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구",3-1,
431,동작(4),1,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구",5-3,
432,총신대입구(4),0,"1번출구, 14번출구",4-1,
432,총신대입구(4),0,"2번출구, 13번출구",7-3,
432,총신대입구(4),0,"2번출구, 13번출구",9-2,
432,총신대입구(4),0,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",10-2,
432,총신대입구(4),0,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",10-3,
432,총신대입구(4),1,"1번출구, 14번출구",7-3,
432,총신대입구(4),1,"2번출구, 13번출구",2-3,
432,총신대입구(4),1,"2번출구, 13번출구",4-2,
432,총신대입구(4),1,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구",1-1,
433,사당(4),0,"1번출구, 2번출구, 5번출구, 6번출구, 7번출구, 8번출구, 13번출구, 14번출구",6-3,
433,사당(4),0,"3번출구, 4번출구",10-4,
433,사당(4),0,"9번출구, 10번출구, 11번출구, 12번출구",4-2,
433,사당(4),1,"1번출구, 2번출구, 5번출구, 6번출구, 7번출구, 8번출구, 13번출구, 14번출구",5-2,
433,사당(4),1,"3번출구, 4번출구",1-1,
433,사당(4),1,"9번출구, 10번출구, 11번출구, 12번출구",7-3,
434,남태령,0,"1번출구, 3번출구, 4번출구",3-3,
434,남태령,1,"1번출구, 3번출구, 4번출구",3-2,
510,방화,0,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
511,개화산,0,"1번출구, 2번출구",6-3,
511,개화산,1,"1번출구, 2번출구",3-2,
512,김포공항(5),0,"1번출구, 4번출구",5-4,
512,김포공항(5),0,"2번출구, 3번출구",3-4,
512,김포공항(5),1,"1번출구, 4번출구",3-4,
512,김포공항(5),1,"2번출구, 3번출구",5-4,
513,송정,0,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
513,송정,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
514,마곡,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",5-4,
514,마곡,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",4-1,
515,발산,0,"1번출구, 9번출구",4-1,
515,발산,0,"2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-1,
515,발산,1,"1번출구, 9번출구",5-4,
515,발산,1,"2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-4,
516,우장산,0,"1번출구, 2번출구, 3번출구, 4번출구",5-2,
516,우장산,1,"1번출구, 2번출구, 3번출구, 4번출구",4-3,
517,화곡,0,"1번출구, 2번출구, 7번출구, 8번출구",1-1,
517,화곡,0,"3번출구, 4번출구, 5번출구, 6번출구",4-3,
517,화곡,1,"1번출구, 2번출구, 7번출구, 8번출구",8-4,
517,화곡,1,"3번출구, 4번출구, 5번출구, 6번출구",5-2,
518,까치산(5),0,"1번출구, 2번출구, 3번출구, 4번출구",2-3,
518,까치산(5),1,"1번출구, 2번출구, 3번출구, 4번출구",7-2,
519,신정,0,"1번출구, 4번출구, 5번출구",1-1,
519,신정,0,"2번출구, 3번출구",8-4,
519,신정,1,"1번출구, 4번출구, 5번출구",8-4,
519,신정,1,"2번출구, 3번출구",1-1,
520,목동,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",4-1,
520,목동,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-4,
521,오목교,0,"1번출구, 2번출구, 3번출구, 4번출구, 6번출구, 7번출구, 8번출구",6-3,
521,오목교,1,"1번출구, 2번출구, 3번출구, 4번출구, 6번출구, 7번출구, 8번출구",3-2,
522,양평(5),0,"1번출구, 2번출구",2-3,
522,양평(5),1,"1번출구, 2번출구",7-1,
523,영등포구청(5),0,"1번출구, 2번출구, 3번출구, 5번출구",7-2,
523,영등포구청(5),0,"6번출구, 7번출구",4-4,
523,영등포구청(5),1,"1번출구, 2번출구, 3번출구, 5번출구",2-3,
523,영등포구청(5),1,"6번출구, 7번출구",5-1,
524,영등포시장,0,"1번출구, 2번출구, 3번출구, 4번출구",5-1,
524,영등포시장,1,"1번출구, 2번출구, 3번출구, 4번출구",4-3,
525,신길(5),0,"1번출구, 2번출구",7-2,
525,신길(5),0,3번출구,4-3,
525,신길(5),1,"1번출구, 2번출구",2-1,
525,신길(5),1,3번출구,5-2,
526,여의도(5),0,"1번출구, 2번출구, 6번출구",2-1,
526,여의도(5),0,"3번출구, 4번출구, 5번출구",7-4,
526,여의도(5),1,"1번출구, 2번출구, 6번출구",7-4,
526,여의도(5),1,"3번출구, 4번출구, 5번출구",2-1,
527,여의나루,0,"1번출구, 2번출구, 3번출구, 4번출구",7-3,
527,여의나루,1,"1번출구, 2번출구, 3번출구, 4번출구",2-1,
528,마포,0,"1번출구, 2번출구, 3번출구, 4번출구",3-4,
528,마포,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
529,공덕(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-2,
529,공덕(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-2,
529,공덕(5),0,"9번출구, 10번출구",1-1,
529,공덕(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",4-2,
529,공덕(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-2,
529,공덕(5),1,"9번출구, 10번출구",8-4,
530,애오개,0,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
530,애오개,1,"1번출구, 2번출구, 3번출구, 4번출구",3-4,
531,충정로(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",4-1,
531,충정로(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",5-3,
532,서대문,0,"1번출구, 2번출구, 7번출구, 8번출구",3-2,
532,서대문,0,"3번출구, 4번출구, 5번출구, 6번출구",6-2,
532,서대문,1,"1번출구, 2번출구, 7번출구, 8번출구",6-2,
532,서대문,1,"3번출구, 4번출구, 5번출구, 6번출구",3-3,
533,광화문,0,"1번출구, 8번출구",1-1,
533,광화문,0,"2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 9번출구",8-4,
533,광화문,1,"1번출구, 8번출구",8-4,
533,광화문,1,"2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 9번출구",1-1,
534,종로3가(5),0,"1번출구, 2번출구, 2-1번출구, 3번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구, 13번출구, 14번출구, 15번출구",8-4,
534,종로3가(5),0,"4번출구, 5번출구",1-1,
534,종로3가(5),1,"1번출구, 2번출구, 2-1번출구, 3번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구, 13번출구, 14번출구, 15번출구",1-1,
534,종로3가(5),1,"4번출구, 5번출구",8-4,
535,을지로4가(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",5-3,
535,을지로4가(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",4-2,
536,동대문역사문화공원(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구, 13번출구, 14번출구",8-4,
536,동대문역사문화공원(5),0,"6번출구, 7번출구",1-1,
536,동대문역사문화공원(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구, 13번출구, 14번출구",1-1,
536,동대문역사문화공원(5),1,"6번출구, 7번출구",8-4,
537,청구(5),0,1번출구,2-4,
537,청구(5),0,"2번출구, 3번출구",5-1,
537,청구(5),1,1번출구,6-4,
537,청구(5),1,"2번출구, 3번출구",4-3,
538,신금호,0,"1번출구, 3번출구, 5번출구",5-3,
538,신금호,1,"1번출구, 3번출구, 5번출구",4-1,
539,행당,0,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
539,행당,1,"1번출구, 2번출구, 3번출구, 4번출구",4-2,
540,왕십리(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6-1번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구, 13번출구",4-2,
540,왕십리(5),0,6번출구,2-3,
540,왕십리(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6-1번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 12번출구, 13번출구",5-3,
540,왕십리(5),1,6번출구,7-2,
541,마장,0,"1번출구, 2번출구, 3번출구, 4번출구",3-4,
541,마장,1,"1번출구, 2번출구, 3번출구, 4번출구",6-1,
542,답십리,0,"1번출구, 2번출구, 7번출구, 8번출구",4-1,
542,답십리,0,"3번출구, 4번출구, 5번출구, 6번출구",5-4,
542,답십리,1,"1번출구, 2번출구, 7번출구, 8번출구",5-4,
542,답십리,1,"3번출구, 4번출구, 5번출구, 6번출구",4-1,
543,장한평,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-3,
543,장한평,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",4-1,
544,군자(5),0,"1번출구, 2번출구, 7번출구, 8번출구",1-1,
544,군자(5),0,"3번출구, 4번출구, 5번출구, 6번출구",8-4,
544,군자(5),1,"1번출구, 2번출구, 7번출구, 8번출구",8-4,
544,군자(5),1,"3번출구, 4번출구, 5번출구, 6번출구",1-1,
545,아차산,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",5-3,
545,아차산,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",4-2,
546,광나루,0,"1번출구, 2번출구, 3번출구, 4번출구",6-2,
546,광나루,1,"1번출구, 2번출구, 3번출구, 4번출구",3-3,
547,천호(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",5-1,
547,천호(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",4-4,
548,강동,0,"1번출구, 4번출구",1-1,
548,강동,0,"2번출구, 3번출구",8-4,
548,강동,1,"1번출구, 4번출구",8-4,
548,강동,1,"2번출구, 3번출구",1-1,
549,길동,0,"1번출구, 2번출구, 3번출구",4-2,
549,길동,1,"1번출구, 2번출구, 3번출구",5-3,
550,굽은다리,0,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
550,굽은다리,1,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
551,명일,0,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
551,명일,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
552,고덕,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",5-2,
552,고덕,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",4-3,
553,상일동,1,"1번출구, 8번출구",8-4,
553,상일동,1,"4번출구, 5번출구",1-1,
P549,둔촌동,0,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
P549,둔촌동,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
P550,올림픽공원(5),0,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
P550,올림픽공원(5),1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
P551,방이,0,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
P551,방이,1,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
P552,오금(5),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",5-4,
P552,오금(5),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",4-1,
P553,개롱,0,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
P553,개롱,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
P554,거여,0,"1번출구, 2번출구, 3번출구, 4번출구, 7번출구, 8번출구",5-4,
P554,거여,1,"1번출구, 2번출구, 3번출구, 4번출구, 7번출구, 8번출구",4-1,
P555,마천,1,"1번출구, 2번출구",4-1,
554,강일,0,"1번출구, 3번출구, 4번출구",2-3,
554,강일,0,"1번출구, 3번출구, 4번출구",7-2,
554,강일,1,"1번출구, 3번출구, 4번출구",2-3,
554,강일,1,"1번출구, 3번출구, 4번출구",7-2,
555,미사,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",3-3,
555,미사,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",6-1,
555,미사,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",3-3,
555,미사,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",6-2,
556,하남풍산,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-3,
556,하남풍산,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-1,
556,하남풍산,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-4,
556,하남풍산,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-2,
557,하남시청,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",3-3,
557,하남시청,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",6-2,
557,하남시청,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",3-3,
557,하남시청,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",6-3,
558,하남검단산,1,"1번출구, 2번출구, 4번출구",7-1,
558,하남검단산,1,3번출구,6-2,
610,응암,0,"1번출구, 2번출구, 3번출구, 4번출구",4-3,
610,응암,1,"1번출구, 2번출구, 3번출구, 4번출구",5-2,
611,역촌,1,"1번출구, 2번출구, 3번출구, 4번출구",4-2,
612,불광(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 8번출구, 9번출구",2-3,
612,불광(6),1,"6번출구, 7번출구",7-2,
613,독바위,1,1번출구,3-2,
614,연신내(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구",6-2,
615,구산,1,"1번출구, 2번출구, 4번출구",5-4,
616,새절,0,"1번출구, 2번출구, 3번출구, 4번출구",3-4,
616,새절,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
617,증산,0,"1번출구, 2번출구, 3번출구, 4번출구",4-1,
617,증산,1,"1번출구, 2번출구, 3번출구, 4번출구",5-3,
618,디지털미디어시티(6),0,"1번출구, 4번출구, 5번출구",1-1,
618,디지털미디어시티(6),0,"2번출구, 3번출구, 7번출구, 8번출구, 9번출구",8-4,
618,디지털미디어시티(6),0,6번출구,2-2,
618,디지털미디어시티(6),1,"1번출구, 4번출구, 5번출구",8-4,
618,디지털미디어시티(6),1,"2번출구, 3번출구, 7번출구, 8번출구, 9번출구",1-1,
618,디지털미디어시티(6),1,6번출구,7-2,
619,월드컵경기장(6),0,1번출구,8-4,
619,월드컵경기장(6),0,2번출구,3-4,
619,월드컵경기장(6),0,3번출구,1-1,
619,월드컵경기장(6),1,1번출구,1-1,
619,월드컵경기장(6),1,2번출구,5-4,
619,월드컵경기장(6),1,3번출구,8-4,
620,마포구청,0,"1번출구, 2번출구, 8번출구",2-1,
620,마포구청,0,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구",8-1,
620,마포구청,1,"1번출구, 2번출구, 8번출구",7-3,
620,마포구청,1,"3번출구, 4번출구, 5번출구, 6번출구, 7번출구",1-3,
621,망원,0,"1번출구, 2번출구",5-2,
621,망원,1,"1번출구, 2번출구",4-3,
622,합정(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",3-3,
622,합정(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구",6-2,
623,상수,0,"1번출구, 2번출구, 3번출구, 4번출구",3-3,
623,상수,1,"1번출구, 2번출구, 3번출구, 4번출구",6-1,
624,광흥창,0,"1번출구, 2번출구, 5번출구, 6번출구",1-1,
624,광흥창,0,"3번출구, 4번출구",8-4,
624,광흥창,1,"1번출구, 2번출구, 5번출구, 6번출구",8-4,
624,광흥창,1,"3번출구, 4번출구",1-1,
625,대흥,0,"1번출구, 2번출구, 3번출구, 4번출구",3-4,
625,대흥,1,"1번출구, 2번출구, 3번출구, 4번출구",5-4,
626,공덕(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-3,
626,공덕(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-1,
626,공덕(6),0,"9번출구, 10번출구",1-1,
626,공덕(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-4,
626,공덕(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-1,
626,공덕(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",6-2,
626,공덕(6),1,"9번출구, 10번출구",8-4,
627,효창공원앞(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",6-4,
627,효창공원앞(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",3-1,
628,삼각지(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",6-4,
628,삼각지(6),0,"7번출구, 8번출구, 9번출구, 10번출구",1-4,
628,삼각지(6),0,"11번출구, 12번출구, 13번출구, 14번출구",8-4,
628,삼각지(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",3-1,
628,삼각지(6),1,"7번출구, 8번출구, 9번출구, 10번출구",7-4,
628,삼각지(6),1,"11번출구, 12번출구, 13번출구, 14번출구",1-1,
629,녹사평,0,"1번출구, 2번출구, 3번출구, 4번출구",6-1,
629,녹사평,1,"1번출구, 2번출구, 3번출구, 4번출구",3-4,
630,이태원,0,"1번출구, 2번출구, 3번출구, 4번출구",3-3,
630,이태원,1,"1번출구, 2번출구, 3번출구, 4번출구",6-1,
631,한강진,0,"1번출구, 3번출구",4-2,
631,한강진,1,"1번출구, 3번출구",5-2,
632,버티고개,0,"1번출구, 2번출구, 3번출구",6-1,
632,버티고개,1,"1번출구, 2번출구, 3번출구",3-4,
633,약수(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",8-4,
633,약수(6),0,"7번출구, 8번출구",5-4,
633,약수(6),0,"9번출구, 10번출구",3-4,
633,약수(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 9번출구, 10번출구",1-1,
633,약수(6),1,"7번출구, 8번출구",4-1,
634,청구(6),0,"1번출구, 2번출구, 3번출구",6-1,
634,청구(6),1,"1번출구, 2번출구, 3번출구",6-1,
635,신당(6),0,"1번출구, 2번출구, 3번출구, 4번출구",8-4,
635,신당(6),0,"5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 11-1번출구, 12번출구",3-4,
635,신당(6),0,"5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 11-1번출구, 12번출구",7-3,
635,신당(6),1,"1번출구, 2번출구, 3번출구, 4번출구",1-1,
635,신당(6),1,"5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 11-1번출구, 12번출구",2-2,
635,신당(6),1,"5번출구, 6번출구, 7번출구, 8번출구, 9번출구, 10번출구, 11번출구, 11-1번출구, 12번출구",6-1,
636,동묘앞(6),0,"1번출구, 8번출구, 9번출구, 10번출구",8-4,
636,동묘앞(6),0,"2번출구, 3번출구",7-3,
636,동묘앞(6),0,"4번출구, 5번출구, 6번출구, 7번출구",4-3,
636,동묘앞(6),1,"1번출구, 8번출구, 9번출구, 10번출구",1-1,
636,동묘앞(6),1,"2번출구, 3번출구",2-3,
636,동묘앞(6),1,"4번출구, 5번출구, 6번출구, 7번출구",5-2,
637,창신,0,"1번출구, 2번출구, 3번출구, 4번출구",4-3,
637,창신,1,"1번출구, 2번출구, 3번출구, 4번출구",5-1,
638,보문(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-4,
638,보문(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-4,
639,안암,0,"1번출구, 2번출구, 3번출구, 4번출구",5-1,
639,안암,1,"1번출구, 2번출구, 3번출구, 4번출구",5-3,
640,고려대,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",3-3,
640,고려대,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",6-1,
641,월곡,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",3-3,
641,월곡,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구",5-4,
642,상월곡,0,"1번출구, 4번출구",1-1,
642,상월곡,0,"2번출구, 3번출구",8-4,
642,상월곡,1,"1번출구, 4번출구",8-4,
642,상월곡,1,"2번출구, 3번출구",1-1,
643,돌곶이,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-4,
643,돌곶이,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-4,
644,석계(6),0,"1번출구, 6번출구, 7번출구",1-1,
644,석계(6),0,"2번출구, 3번출구, 4번출구, 5번출구",6-3,
644,석계(6),1,"1번출구, 6번출구, 7번출구",8-4,
644,석계(6),1,"2번출구, 3번출구, 4번출구, 5번출구",3-2,
645,태릉입구(6),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구, 8번출구",5-2,
645,태릉입구(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구, 8번출구",4-2,
645,태릉입구(6),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구, 8번출구",4-3,
646,화랑대,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",6-3,
646,화랑대,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",3-2,
647,봉화산,1,"1번출구, 4번출구, 5번출구",8-4,
647,봉화산,1,"2번출구, 3번출구",1-1,
648,신내(6),1,"1번출구, 2번출구, 3번출구, 4번출구",7-4,
648,신내(6),1,"1번출구, 2번출구, 3번출구, 4번출구",8-1,
709,장암,0,1번출구,4-3,
710,도봉산(7),0,"1번출구, 2번출구",7-3,
710,도봉산(7),0,1-1번출구,1-1,
710,도봉산(7),1,"1번출구, 2번출구",2-2,
710,도봉산(7),1,1-1번출구,8-4,
711,수락산,0,"2번출구, 4번출구, 5번출구",8-4,
711,수락산,1,"2번출구, 4번출구, 5번출구",1-1,
712,마들,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-3,
712,마들,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",4-1,
713,노원(7),0,"1번출구, 2번출구, 3번출구, 4번출구, 8번출구, 9번출구, 10번출구",1-1,
713,노원(7),0,"5번출구, 6번출구, 7번출구",6-2,
713,노원(7),1,"1번출구, 2번출구, 3번출구, 4번출구, 8번출구, 9번출구, 10번출구",8-4,
713,노원(7),1,"5번출구, 6번출구, 7번출구",3-3,
714,중계,0,"1번출구, 2번출구, 5번출구, 6번출구",4-1,
714,중계,0,"3번출구, 4번출구",6-1,
714,중계,1,"1번출구, 2번출구, 6번출구",5-3,
714,중계,1,"3번출구, 4번출구, 5번출구",3-3,
715,하계,0,"1번출구, 6번출구",3-3,
715,하계,0,"2번출구, 3번출구, 4번출구, 5번출구",5-3,
715,하계,1,"1번출구, 6번출구",6-1,
715,하계,1,"2번출구, 3번출구, 4번출구, 5번출구",4-1,
716,공릉,0,"2번출구, 3번출구, 4번출구",5-1,
716,공릉,1,"2번출구, 3번출구, 4번출구",4-4,
717,태릉입구(7),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구, 8번출구",4-1,
717,태릉입구(7),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 7번출구, 8번출구",5-3,
718,먹골,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",4-1,
718,먹골,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구",5-4,
719,중화,0,"1번출구, 4번출구",4-1,
719,중화,0,"2번출구, 3번출구",5-4,
719,중화,1,"1번출구, 4번출구",5-4,
719,중화,1,"2번출구, 3번출구",4-1,
720,상봉(7),0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",3-4,
720,상봉(7),1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구, 7번출구, 8번출구",5-4,
721,면목,0,"1번출구, 2번출구, 3번출구",3-4,
721,면목,1,"1번출구, 2번출구, 3번출구",6-1,
722,사가정,0,"1번출구, 3번출구, 4번출구",2-4,
722,사가정,1,"1번출구, 3번출구, 4번출구",7-1,
723,용마산,0,"1번출구, 2번출구",2-4,
723,용마산,1,"1번출구, 2번출구",7-1,
724,중곡,0,"1번출구, 2번출구, 3번출구",4-1,
724,중곡,1,"1번출구, 2번출구, 3번출구",5-4,
725,군자(7),0,"1번출구, 2번출구, 3번출구, 4번출구",2-4,
725,군자(7),0,"5번출구, 6번출구, 7번출구, 8번출구",7-1,
725,군자(7),1,"1번출구, 2번출구, 3번출구, 4번출구",7-1,
725,군자(7),1,"5번출구, 6번출구, 7번출구, 8번출구",2-4,
726,어린이대공원,0,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",4-1,
726,어린이대공원,1,"1번출구, 2번출구, 3번출구, 4번출구, 5번출구, 6번출구",5-4,
727,건대입구(7),0,"1번출구, 2번출구, 5번출구, 6번출구",8-4,
727,건대입구(7),0,3번출구,4-4,
727,건대입구(7),0,4번출구,7-1,
727,건대입구(7),1,"1번출구, 2번출구, 5번출구, 6번출구",1-1,
727,건대입구(7),1,3번출구,5-1,
